episode,total_reward,steps,eps
390,5.0,6,0.14157986400593744
391,5.0,6,0.14087196468590776
392,3.0,8,0.14016760486247823
393,5.0,6,0.13946676683816583
394,3.0,8,0.138769433003975
395,5.0,6,0.13807558583895513
396,3.0,8,0.13738520790976036
397,5.0,6,0.13669828187021155
398,3.0,8,0.13601479046086049
399,5.0,6,0.1353347165085562
400,0.0,11,0.1346580429260134
401,-1.0,12,0.13398475271138335
402,4.0,7,0.13331482894782642
403,5.0,6,0.13264825480308728
404,4.0,7,0.13198501352907185
405,3.0,8,0.1313250884614265
406,5.0,6,0.13066846301911936
407,3.0,8,0.13001512070402377
408,5.0,6,0.12936504510050365
409,5.0,6,0.12871821987500112
410,5.0,6,0.12807462877562611
411,5.0,6,0.12743425563174798
412,4.0,7,0.12679708435358925
413,5.0,6,0.1261630989318213
414,5.0,6,0.1255322834371622
415,5.0,6,0.12490462201997637
416,5.0,6,0.1242800989098765
417,3.0,8,0.12365869841532712
418,5.0,6,0.12304040492325048
419,3.0,8,0.12242520289863423
420,5.0,6,0.12181307688414106
421,5.0,6,0.12120401149972035
422,4.0,7,0.12059799144222175
423,3.0,8,0.11999500148501063
424,3.0,8,0.11939502647758558
425,1.0,10,0.11879805134519765
426,5.0,6,0.11820406108847166
427,3.0,8,0.1176130407830293
428,5.0,6,0.11702497557911415
429,5.0,6,0.11643985070121858
430,5.0,6,0.11585765144771248
431,4.0,7,0.11527836319047392
432,5.0,6,0.11470197137452155
433,5.0,6,0.11412846151764894
434,5.0,6,0.1135578192100607
435,3.0,8,0.11299003011401039
436,3.0,8,0.11242507996344034
437,5.0,6,0.11186295456362313
438,5.0,6,0.11130363979080501
439,5.0,6,0.11074712159185099
440,5.0,6,0.11019338598389174
441,5.0,6,0.10964241905397228
442,5.0,6,0.10909420695870241
443,4.0,7,0.1085487359239089
444,5.0,6,0.10800599224428936
445,5.0,6,0.10746596228306791
446,5.0,6,0.10692863247165257
447,5.0,6,0.1063939893092943
448,3.0,8,0.10586201936274783
449,3.0,8,0.10533270926593409
450,5.0,6,0.10480604571960442
451,5.0,6,0.1042820154910064
452,5.0,6,0.10376060541355137
453,3.0,8,0.1032418023864836
454,5.0,6,0.10272559337455119
455,5.0,6,0.10221196540767843
456,5.0,6,0.10170090558064004
457,5.0,6,0.10119240105273684
458,5.0,6,0.10068643904747315
459,4.0,7,0.10018300685223579
460,4.0,7,0.0996820918179746
461,3.0,8,0.09918368135888474
462,3.0,8,0.09868776295209031
463,5.0,6,0.09819432413732986
464,5.0,6,0.09770335251664321
465,5.0,6,0.09721483575406
466,5.0,6,0.09672876157528969
467,5.0,6,0.09624511776741324
468,5.0,6,0.09576389217857617
469,5.0,6,0.09528507271768329
470,4.0,7,0.09480864735409487
471,5.0,6,0.0943346041173244
472,5.0,6,0.09386293109673778
473,5.0,6,0.09339361644125409
474,4.0,7,0.09292664835904782
475,3.0,8,0.09246201511725258
476,5.0,6,0.09199970504166631
477,5.0,6,0.09153970651645797
478,5.0,6,0.09108200798387568
479,5.0,6,0.0906265979439563
480,5.0,6,0.09017346495423652
481,5.0,6,0.08972259762946533
482,5.0,6,0.089273984641318
483,5.0,6,0.0888276147181114
484,3.0,8,0.08838347664452084
485,4.0,7,0.08794155926129824
486,5.0,6,0.08750185146499175
487,5.0,6,0.08706434220766679
488,5.0,6,0.08662902049662846
489,4.0,7,0.08619587539414532
490,5.0,6,0.08576489601717459
491,3.0,8,0.08533607153708872
492,3.0,8,0.08490939117940327
493,5.0,6,0.08448484422350626
494,5.0,6,0.08406242000238873
495,4.0,7,0.08364210790237678
496,5.0,6,0.0832238973628649
497,5.0,6,0.08280777787605056
498,5.0,6,0.08239373898667031
499,3.0,8,0.08198177029173696
500,5.0,6,0.08157186144027828
